original_token_bucket,n_rows,n_known,n_unknown,tokens_original,tokens_final,tokens_saved,corpus_reduction_pct,compression_factor,page_mean_reduction_pct,page_std_reduction_pct,page_p0_reduction_pct,page_p10_reduction_pct,page_p25_reduction_pct,page_p50_reduction_pct,page_p75_reduction_pct,page_p90_reduction_pct,page_p95_reduction_pct,page_p100_reduction_pct
"(1135.999, 2683.0]",25,25,0,51949,41113,10836,20.858919324722326,1.2635662685768492,21.20226087186888,11.780374228117433,0.0,7.187697504388987,12.262658227848101,21.54082023763894,29.164582291145575,35.093896713615024,38.13862217179962,40.663302090843544
"(2683.0, 3377.0]",25,25,0,75653,59495,16158,21.358042642063104,1.2715858475502142,20.879467216906956,13.207874716996349,0.0,5.615404928716507,12.239858906525573,21.356033452807647,29.2458432304038,31.968142060205444,39.559194924701515,58.1605049594229
"(3377.0, 4844.5]",25,25,0,102092,68883,33209,32.52850370254281,1.4821073414340258,32.205373517714634,16.81592391708876,0.0,13.072691744904548,21.281242416889103,30.871956009426547,42.22222222222222,51.43567778084146,58.206225643123936,74.78934183557277
"(4844.5, 8924.0]",25,25,0,154134,97292,56842,36.87830069939144,1.5842412531348928,37.22415015943454,11.143612532558725,11.006603962377426,22.473243411824456,33.897355445988346,35.72354211663067,46.3521254145312,49.92327094746325,51.2288654323435,55.98553345388788
