final_level,n_rows,n_known,n_unknown,tokens_original,tokens_final,tokens_saved,corpus_reduction_pct,compression_factor,page_mean_reduction_pct,page_std_reduction_pct,page_p0_reduction_pct,page_p10_reduction_pct,page_p25_reduction_pct,page_p50_reduction_pct,page_p75_reduction_pct,page_p90_reduction_pct,page_p95_reduction_pct,page_p100_reduction_pct
l3,84,84,0,334414,223802,110612,33.076366420066144,1.4942404446787785,30.962792945906244,13.82485752616695,4.268696227663798,12.262996895243768,21.481448264347723,31.126844515251918,39.37320346320347,48.58533119508016,53.01098740498882,74.78934183557277
l2,7,7,0,17789,15085,2704,15.20040474450503,1.1792509115014915,15.134344372853773,9.887373201660342,0.27593818984547464,6.986872025852662,11.850343411524847,12.430426716141001,20.18438829489733,27.77336794107012,28.468975116107845,29.164582291145575
l1,4,4,0,13026,10977,2049,15.730078304928604,1.1866630226837933,15.176446010376004,5.052327976784185,7.882352941176471,10.271469945733294,13.855145452568525,16.816645127628565,18.137945685436044,18.76926278121667,18.979701813143546,19.19014084507042
original,3,3,0,7590,7590,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
excluded,1,1,0,2717,2717,0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l1a,1,1,0,8292,6612,1680,20.260492040520983,1.2540834845735027,20.260492040520983,,20.260492040520983,20.260492040520983,20.260492040520983,20.260492040520983,20.260492040520983,20.260492040520983,20.260492040520983,20.260492040520983
