page_id,tokenizer,g0_parse,tokens_orig,tokens_comp,reduction_pct,g1_tokens,docH_orig,docH_comp,height_delta_px,g2_height,text_ratio,g3_text,n_boxes_orig,n_boxes_comp,iou_mean,center_shift_max,n_unmatched,g4_blocks,deltae_p95,deltae_max,g5_color,ssim_diag,g6_lpips,pixel_identical,accepted,stage,status
we00010,qwen2.5-vl,True,5063.0,4195.0,17.144,True,2963.0,2963.0,0.0,True,1.0,True,59.0,59.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,l1b,ok
we00011,qwen2.5-vl,True,6945.0,5858.0,15.652,True,1748.0,1748.0,0.0,True,1.0,True,21.0,21.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,l1b,ok
we00012,qwen2.5-vl,True,5271.0,4635.0,12.066,True,2185.0,2185.0,0.0,True,1.0,True,44.0,44.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,l1b,ok
we00013,qwen2.5-vl,True,2593.0,2358.0,9.063,True,1217.0,1217.0,0.0,True,1.0,True,87.0,87.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,l1b,ok
we00014,qwen2.5-vl,True,8924.0,7427.0,16.775,True,1735.0,1735.0,0.0,True,1.0,True,71.0,71.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,l1b,ok
we00015,qwen2.5-vl,True,7629.0,5967.0,21.785,True,1823.0,1823.0,0.0,True,1.0,True,34.0,34.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,l1b,ok
we00016,qwen2.5-vl,True,5951.0,5008.0,15.846,True,1600.0,1600.0,0.0,True,1.0,True,31.0,31.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,l1b,ok
we00017,qwen2.5-vl,True,1207.0,1150.0,4.722,True,867.0,867.0,0.0,True,1.0,True,29.0,29.0,1.0,0.0,0.0,True,0.079,0.099,True,0.9962,True,False,True,l1b,ok
we00018,qwen2.5-vl,True,4121.0,3428.0,16.816,True,2209.0,2209.0,0.0,True,1.0,True,65.0,65.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,l1b,ok
we00019,qwen2.5-vl,True,6600.0,5519.0,16.379,True,2528.0,2528.0,0.0,True,1.0,True,59.0,59.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,l1b,ok
we00020,qwen2.5-vl,True,4953.0,3657.0,26.166,True,1262.0,1262.0,0.0,True,1.0,True,26.0,26.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,l1b,ok
we00021,qwen2.5-vl,True,5527.0,4284.0,22.49,True,985.0,985.0,0.0,True,1.0,True,84.0,84.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,l1a,ok
we00022,qwen2.5-vl,True,4247.0,3634.0,14.434,True,1902.0,1902.0,0.0,True,1.0,True,65.0,65.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,l1b,ok
we00023,qwen2.5-vl,True,3017.0,2706.0,10.308,True,1422.0,1422.0,0.0,True,1.0,True,27.0,27.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,l1b,ok
we00024,qwen2.5-vl,True,2842.0,2674.0,5.911,True,1546.0,1546.0,0.0,True,1.0,True,37.0,37.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,l1b,ok
