page_id,source,base,n_invisible,n_wrappers,n_candidate_edits,tokens_base,status,accepted,reduction_pct,gate_calls,n_kept,n_kept_invisible,n_kept_wrappers,n_blacklisted,tokens_saved_invisible,tokens_saved_wrappers,tokenizer,g0_parse,tokens_orig,tokens_comp,g1_tokens,docH_orig,docH_comp,height_delta_px,g2_height,text_ratio,g3_text,n_boxes_orig,n_boxes_comp,iou_mean,center_shift_max,n_unmatched,g4_blocks,deltae_p95,deltae_max,g5_color,ssim_diag,g6_lpips,pixel_identical
we00017,webcode2m,original,2.0,1.0,3.0,1207.0,all_edits_rejected,False,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
we00018,webcode2m,original,59.0,22.0,81.0,4121.0,ok,True,0.534,40.0,3.0,3.0,0.0,17.0,22.0,0.0,qwen2.5-vl,True,4121.0,4099.0,True,2199.0,2199.0,0.0,True,1.0,True,65.0,65.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True
we00019,webcode2m,level1,11.0,25.0,36.0,6317.0,ok,True,0.206,37.0,18.0,0.0,18.0,18.0,0.0,13.0,qwen2.5-vl,True,6317.0,6304.0,True,2528.0,2528.0,0.0,True,1.0,True,59.0,59.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True
we00020,webcode2m,level1,6.0,5.0,11.0,4886.0,ok,True,1.944,13.0,5.0,5.0,0.0,6.0,95.0,0.0,qwen2.5-vl,True,4886.0,4791.0,True,1262.0,1262.0,0.0,True,1.0,True,26.0,26.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True
we00021,webcode2m,original,19.0,8.0,27.0,5527.0,ok,True,5.301,40.0,16.0,12.0,4.0,9.0,273.0,22.0,qwen2.5-vl,True,5527.0,5234.0,True,965.0,965.0,0.0,True,0.99635,True,84.0,84.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True
we00022,webcode2m,level1,16.0,33.0,49.0,4087.0,all_edits_rejected,False,0.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
we00023,webcode2m,level1,4.0,9.0,13.0,2932.0,ok,True,8.424,1.0,13.0,4.0,9.0,0.0,67.0,115.0,qwen2.5-vl,True,2932.0,2685.0,True,1422.0,1422.0,0.0,True,1.0,True,27.0,27.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True
we00024,webcode2m,level1,29.0,7.0,36.0,2792.0,all_edits_rejected,False,0.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
we00025,webcode2m,original,,,,,skipped_data_selector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
we00026,webcode2m,original,21.0,20.0,41.0,2870.0,ok,True,5.61,40.0,13.0,13.0,0.0,9.0,161.0,0.0,qwen2.5-vl,True,2870.0,2709.0,True,2124.0,2124.0,0.0,True,1.0,True,38.0,38.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True
we00027,webcode2m,level1,60.0,48.0,108.0,4176.0,ok,True,6.226,40.0,13.0,13.0,0.0,17.0,260.0,0.0,qwen2.5-vl,True,4176.0,3916.0,True,1854.0,1854.0,0.0,True,1.0,True,86.0,86.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True
