sample_id,page_id,source,mutation,protocol_id,family,intent,variant,extension,status,attempts,target_ids,severity_nominal,severity_achieved,detail,verified_change,verified_label,calib_include,n_diff_pixels,diff_frac,shape_mismatch,diff_bbox,tokenizer,g0_parse,tokens_orig,tokens_comp,reduction_pct,g1_tokens,docH_orig,docH_comp,height_delta_px,g2_height,text_ratio,g3_text,n_boxes_orig,n_boxes_comp,iou_mean,center_shift_max,n_unmatched,g4_blocks,deltae_p95,deltae_max,g5_color,ssim_diag,g6_lpips,pixel_identical,accepted,accepted_visual,accepted_full,ssim_canvas
we00000__s4_collapse_neutral_wrapper__default,we00000,webcode2m,s4_collapse_neutral_wrapper,S4,structure,safe,default,False,ok,1,11,,,collapsed neutral <div id=11 1264x108>,False,0,True,0,0.0,False,,qwen2.5-vl,True,3395,3378,0.501,True,1244,1244,0,True,1.0,True,77,77,1.0,0.0,0,True,0.0,0.0,True,1.0,True,True,True,True,True,1.0
we00001__s4_collapse_neutral_wrapper__default,we00001,webcode2m,s4_collapse_neutral_wrapper,S4,structure,safe,default,False,ok,1,89,,,collapsed neutral <div id=89 1024x23>,False,0,True,0,0.0,False,,qwen2.5-vl,True,6479,6467,0.185,True,2107,2107,0,True,1.0,True,39,39,0.9745,492.55,0,True,0.0,6.308,True,1.0,True,True,True,True,True,1.0
we00002__s4_collapse_neutral_wrapper__default,we00002,webcode2m,s4_collapse_neutral_wrapper,S4,structure,safe,default,False,ok,1,49,,,collapsed neutral <span id=49 3x16>,False,0,True,0,0.0,False,,qwen2.5-vl,True,3798,3781,0.448,True,1249,1249,0,True,1.0,True,79,79,0.9875,64.41,0,True,0.0,0.353,True,1.0,True,True,True,True,True,1.0
we00003__s4_collapse_neutral_wrapper__default,we00003,webcode2m,s4_collapse_neutral_wrapper,S4,structure,safe,default,False,ok,1,104,,,collapsed neutral <span id=104 62x17>,False,0,True,0,0.0,False,,qwen2.5-vl,True,3909,3897,0.307,True,2518,2518,0,True,1.0,True,66,66,1.0,0.0,0,True,0.0,0.0,True,1.0,True,True,True,True,True,1.0
we00004__s4_collapse_neutral_wrapper__default,we00004,webcode2m,s4_collapse_neutral_wrapper,S4,structure,safe,default,False,ok,1,166,,,collapsed neutral <div id=166 1264x24>,False,0,True,0,0.0,False,,qwen2.5-vl,True,5752,5732,0.348,True,1420,1420,0,True,1.0,True,50,50,1.0,0.0,0,True,0.0,0.0,True,1.0,True,True,True,True,True,1.0
