page_id,source,base,stamp_roundtrip_identical,n_invisible,n_wrappers,n_candidate_edits,tokens_base,tokens_original,prescreen_ran,n_prescreen_dropped,status,gate_calls,n_kept,n_kept_invisible,n_kept_wrappers,n_blacklisted,tokens_saved_invisible,tokens_saved_wrappers,tokenizer,g0_parse,tokens_orig,tokens_comp,reduction_pct,g1_tokens,docH_orig,docH_comp,height_delta_px,g2_height,text_ratio,g3_text,n_boxes_orig,n_boxes_comp,iou_mean,center_shift_max,n_unmatched,g4_blocks,deltae_p95,deltae_max,g5_color,ssim_diag,g6_lpips,pixel_identical,accepted
we00016,webcode2m_diag,level1,,14,30,44,5008,5951,True,3,ok,13,39,10,29,0,148,417,qwen2.5-vl,True,5008,4436,11.422,True,1600,1600,0,True,1.0,True,31,31,1.0,0.0,0,True,0.0,0.0,True,0.99999,True,False,True
we00091,webcode2m_diag,level1,,4,6,10,6587,8292,True,1,ok,1,9,3,6,0,546,60,qwen2.5-vl,True,6587,5971,9.352,True,1459,1459,0,True,1.0,True,45,45,1.0,0.0,0,True,0.0,0.002,True,0.99887,True,False,True
we00092,webcode2m_diag,level1,,6,8,14,3485,4239,True,2,ok,1,12,6,6,0,141,64,qwen2.5-vl,True,3485,3265,6.313,True,2097,2097,0,True,1.0,True,46,46,1.0,0.02,0,True,0.0,0.0,True,0.99999,True,False,True
