page_id,tokenizer,g0_parse,tokens_orig,tokens_comp,reduction_pct,g1_tokens,docH_orig,docH_comp,height_delta_px,g2_height,text_ratio,g3_text,n_boxes_orig,n_boxes_comp,iou_mean,center_shift_max,n_unmatched,g4_blocks,deltae_p95,deltae_max,g5_color,ssim_diag,g6_lpips,pixel_identical,accepted,stage,status
we00017,qwen2.5-vl,True,1207,1151,4.64,True,867,859,8,False,1.0,True,29,29,1.0,0.0,0,True,0.079,0.099,True,0.99616,True,False,False,l1a,ok
we00017,qwen2.5-vl,True,1207,1110,8.036,True,867,859,8,False,1.0,True,29,29,1.0,0.0,0,True,0.079,0.099,True,0.99616,True,False,False,l1b,ok
we00018,qwen2.5-vl,True,4121,3498,15.118,True,2209,2199,10,False,1.0,True,65,65,0.4935,9.75,0,False,0.049,0.087,True,0.87249,True,False,False,l1a,ok
we00018,qwen2.5-vl,True,4121,3424,16.913,True,2209,2199,10,False,1.0,True,65,65,0.4935,9.75,0,False,0.049,0.087,True,0.87249,True,False,False,l1b,ok
we00019,qwen2.5-vl,True,6600,5726,13.242,True,2528,2528,0,True,1.0,True,59,59,1.0,0.0,0,True,0.0,0.0,True,1.0,True,True,True,l1a,ok
we00019,qwen2.5-vl,True,6600,5523,16.318,True,2528,2528,0,True,1.0,True,59,59,1.0,0.0,0,True,0.0,0.0,True,1.0,True,True,True,l1b,ok
we00020,qwen2.5-vl,True,4953,3671,25.883,True,1262,1262,0,True,1.0,True,26,26,1.0,0.0,0,True,0.0,0.0,True,1.0,True,True,True,l1a,ok
we00020,qwen2.5-vl,True,4953,3657,26.166,True,1262,1262,0,True,1.0,True,26,26,1.0,0.0,0,True,0.0,0.0,True,1.0,True,True,True,l1b,ok
we00021,qwen2.5-vl,True,5527,4282,22.526,True,985,965,20,False,1.0,True,84,84,0.9972,9.98,0,False,0.0,0.288,True,1.0,True,False,False,l1a,ok
we00021,qwen2.5-vl,True,5527,4189,24.208,True,985,965,20,False,1.0,True,84,84,0.9887,9.98,0,False,0.0,0.314,True,0.99797,True,False,False,l1b,ok
we00022,qwen2.5-vl,True,4247,3683,13.28,True,1902,1902,0,True,1.0,True,65,65,1.0,0.0,0,True,0.0,0.0,True,1.0,True,True,True,l1a,ok
we00022,qwen2.5-vl,True,4247,3638,14.34,True,1902,1902,0,True,1.0,True,65,65,1.0,0.0,0,True,0.0,0.0,True,1.0,True,True,True,l1b,ok
we00023,qwen2.5-vl,True,3017,2737,9.281,True,1422,1422,0,True,1.0,True,27,27,1.0,0.0,0,True,0.0,0.0,True,1.0,True,True,True,l1a,ok
