page_id,tokenizer,g0_parse,tokens_orig,tokens_comp,reduction_pct,g1_tokens,docH_orig,docH_comp,height_delta_px,g2_height,text_ratio,g3_text,n_boxes_orig,n_boxes_comp,iou_mean,center_shift_max,n_unmatched,g4_blocks,deltae_p95,deltae_max,g5_color,ssim_diag,g6_lpips,pixel_identical,accepted,status
we00030,qwen2.5-vl,True,4391.0,3892.0,11.364,True,1773.0,1767.0,6.0,False,1.0,True,47.0,47.0,0.9667,6.0,0.0,False,0.0,0.0,True,0.99545,True,False,False,ok
we00031,qwen2.5-vl,True,7592.0,7496.0,1.264,True,2970.0,2970.0,0.0,True,1.0,True,29.0,29.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,ok
we00032,qwen2.5-vl,True,2560.0,2272.0,11.25,True,800.0,800.0,0.0,True,1.0,True,74.0,74.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,ok
we00033,qwen2.5-vl,True,4997.0,4517.0,9.606,True,2085.0,2085.0,0.0,True,1.0,True,138.0,138.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,ok
we00034,qwen2.5-vl,True,2835.0,2743.0,3.245,True,1998.0,1998.0,0.0,True,0.99989,True,66.0,66.0,0.9994,3.62,0.0,False,0.0,0.154,True,0.99854,True,False,False,ok
we00035,qwen2.5-vl,True,2717.0,2624.0,3.423,True,800.0,800.0,0.0,True,1.0,True,33.0,33.0,0.8178,13.0,0.0,False,0.0,0.151,True,0.94033,True,False,False,ok
we00036,qwen2.5-vl,True,2505.0,2369.0,5.429,True,1908.0,1908.0,0.0,True,1.0,True,84.0,84.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,ok
we00037,qwen2.5-vl,True,3187.0,3104.0,2.604,True,2336.0,2336.0,0.0,True,1.0,True,88.0,88.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,ok
we00038,qwen2.5-vl,True,2528.0,2218.0,12.263,True,800.0,800.0,0.0,True,1.0,True,78.0,78.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,ok
we00039,qwen2.5-vl,True,3022.0,2993.0,0.96,True,2188.0,2188.0,0.0,True,0.99994,True,14.0,14.0,0.9945,4.45,0.0,False,0.141,0.362,True,0.99884,True,False,False,ok
we00040,qwen2.5-vl,True,3075.0,2791.0,9.236,True,2639.0,2636.0,3.0,False,0.99987,True,97.0,97.0,0.7289,146.52,0.0,False,0.086,1.0,True,0.84913,True,False,False,ok
we00041,qwen2.5-vl,True,3819.0,3717.0,2.671,True,1953.0,1953.0,0.0,True,1.0,True,53.0,53.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,ok
we00042,qwen2.5-vl,True,3565.0,3418.0,4.123,True,1991.0,1991.0,0.0,True,1.0,True,72.0,72.0,0.9963,4.0,0.0,False,0.0,0.0,True,0.9993,True,False,False,ok
we00043,qwen2.5-vl,True,1527.0,1472.0,3.602,True,1040.0,1040.0,0.0,True,1.0,True,33.0,33.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,ok
we00044,qwen2.5-vl,True,5874.0,5447.0,7.269,True,844.0,844.0,0.0,True,1.0,True,23.0,23.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,ok
we00045,qwen2.5-vl,True,2542.0,2456.0,3.383,True,808.0,808.0,0.0,True,1.0,True,68.0,68.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,ok
we00046,qwen2.5-vl,True,4561.0,4249.0,6.841,True,1084.0,1084.0,0.0,True,1.0,True,128.0,128.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,ok
we00047,qwen2.5-vl,True,6557.0,6385.0,2.623,True,1577.0,2855.0,1278.0,False,0.91202,False,36.0,65.0,0.037,1277.84,29.0,False,4.09,13.342,False,0.84809,True,False,False,ok
we00048,qwen2.5-vl,True,3090.0,2725.0,11.812,True,1616.0,1616.0,0.0,True,1.0,True,54.0,54.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,ok
we00049,qwen2.5-vl,True,2989.0,2888.0,3.379,True,1768.0,1768.0,0.0,True,1.0,True,46.0,46.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,ok
we00050,qwen2.5-vl,True,4327.0,4032.0,6.818,True,2485.0,2485.0,0.0,True,0.99969,True,162.0,162.0,0.9983,4.94,0.0,False,0.0,0.019,True,0.99783,True,False,False,ok
we00051,qwen2.5-vl,True,3336.0,3219.0,3.507,True,1998.0,1998.0,0.0,True,1.0,True,48.0,48.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,ok
we00052,qwen2.5-vl,True,1956.0,1858.0,5.01,True,917.0,917.0,0.0,True,0.99987,True,42.0,42.0,0.9957,3.88,0.0,False,0.0,0.296,True,0.99933,True,False,False,ok
we00053,qwen2.5-vl,True,3488.0,3206.0,8.085,True,2293.0,2293.0,0.0,True,1.0,True,83.0,83.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,ok
we00054,qwen2.5-vl,True,5530.0,5410.0,2.17,True,1183.0,1183.0,0.0,True,1.0,True,36.0,36.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,ok
we00055,qwen2.5-vl,True,4375.0,4227.0,3.383,True,1579.0,1579.0,0.0,True,1.0,True,74.0,74.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,ok
we00056,qwen2.5-vl,True,1704.0,1643.0,3.58,True,970.0,970.0,0.0,True,1.0,True,32.0,32.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,ok
we00057,qwen2.5-vl,True,4324.0,4216.0,2.498,True,3202.0,3202.0,0.0,True,1.0,True,41.0,41.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,ok
we00058,qwen2.5-vl,True,2298.0,2226.0,3.133,True,1506.0,1506.0,0.0,True,1.0,True,66.0,66.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,ok
we00059,qwen2.5-vl,True,2612.0,2515.0,3.714,True,1090.0,1090.0,0.0,True,0.99988,True,67.0,67.0,0.9994,2.0,0.0,False,0.0,0.003,True,0.99578,True,False,False,ok
we00060,qwen2.5-vl,True,3353.0,3079.0,8.172,True,1767.0,1767.0,0.0,True,1.0,True,82.0,82.0,0.9988,2.0,0.0,False,0.0,0.649,True,0.99999,True,False,False,ok
we00061,qwen2.5-vl,True,2695.0,2603.0,3.414,True,1956.0,1956.0,0.0,True,0.99986,True,66.0,66.0,0.9991,3.62,0.0,False,0.0,0.098,True,0.99873,True,False,False,ok
we00062,qwen2.5-vl,True,1834.0,1707.0,6.925,True,831.0,831.0,0.0,True,1.0,True,68.0,68.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,ok
we00063,qwen2.5-vl,True,7104.0,7014.0,1.267,True,1538.0,1538.0,0.0,True,1.0,True,54.0,54.0,1.0,0.0,0.0,True,0.0,0.0,True,,True,True,True,ok
we00064,qwen2.5-vl,True,3941.0,3412.0,13.423,True,1168.0,1168.0,0.0,True,1.0,True,98.0,98.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,ok
we00065,qwen2.5-vl,True,4230.0,4042.0,4.444,True,1527.0,1527.0,0.0,True,1.0,True,67.0,67.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,ok
we00066,qwen2.5-vl,True,1387.0,1341.0,3.317,True,1627.0,1627.0,0.0,True,1.0,True,13.0,13.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,ok
we00067,qwen2.5-vl,True,4451.0,4311.0,3.145,True,2165.0,2128.0,37.0,False,1.0,True,92.0,92.0,0.5315,42.94,0.0,False,0.144,0.278,True,0.8862,True,False,False,ok
we00068,qwen2.5-vl,True,4852.0,4717.0,2.782,True,800.0,800.0,0.0,True,1.0,True,27.0,27.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,ok
we00069,qwen2.5-vl,True,2884.0,2744.0,4.854,True,1051.0,1051.0,0.0,True,1.0,True,62.0,62.0,0.8691,7.5,0.0,False,0.0,1.572,False,0.99336,True,False,False,ok
we00070,qwen2.5-vl,True,2909.0,2731.0,6.119,True,1710.0,1710.0,0.0,True,1.0,True,48.0,48.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,ok
we00071,,,,,,,,,,,,,,,,,,,,,,,,,False,"failed: Page.goto: Timeout 30000ms exceeded.
Call log:
  - navigating to ""file:///C:/Users/Mahin/Thesis/render_validated_starter_kit/starter_kit/data/raw_webcode2m/we00071.html"", waiting until ""load""
"
we00072,qwen2.5-vl,True,4006.0,3875.0,3.27,True,1053.0,1053.0,0.0,True,0.99984,True,21.0,21.0,0.9854,3.97,0.0,False,0.0,0.0,True,0.99947,True,False,False,ok
we00073,qwen2.5-vl,True,4570.0,4467.0,2.254,True,1634.0,1634.0,0.0,True,1.0,True,49.0,49.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,ok
we00074,qwen2.5-vl,True,2923.0,2821.0,3.49,True,1942.0,1942.0,0.0,True,0.9999,True,66.0,66.0,0.9987,3.62,0.0,False,0.0,0.238,True,0.99897,True,False,False,ok
we00075,qwen2.5-vl,True,1136.0,980.0,13.732,True,1153.0,1153.0,0.0,True,1.0,True,57.0,57.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,ok
we00076,qwen2.5-vl,True,3386.0,3322.0,1.89,True,1298.0,1298.0,0.0,True,0.99987,True,26.0,26.0,0.9882,3.97,0.0,False,0.0,0.0,True,0.99958,True,False,False,ok
we00077,qwen2.5-vl,True,4958.0,4724.0,4.72,True,1134.0,1134.0,0.0,True,1.0,True,44.0,44.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,ok
we00078,qwen2.5-vl,True,1812.0,1767.0,2.483,True,1265.0,1265.0,0.0,True,1.0,True,35.0,35.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,ok
we00079,qwen2.5-vl,True,3327.0,3222.0,3.156,True,1305.0,1305.0,0.0,True,1.0,True,16.0,16.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,ok
we00080,qwen2.5-vl,True,2909.0,2793.0,3.988,True,1331.0,1331.0,0.0,True,1.0,True,66.0,66.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,ok
we00081,qwen2.5-vl,True,3368.0,3001.0,10.897,True,1400.0,1400.0,0.0,True,1.0,True,75.0,75.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,ok
we00082,qwen2.5-vl,True,1910.0,1816.0,4.921,True,1344.0,1344.0,0.0,True,1.0,True,32.0,32.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,ok
we00083,qwen2.5-vl,True,5228.0,5033.0,3.73,True,2170.0,2170.0,0.0,True,1.0,True,124.0,124.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,ok
we00084,qwen2.5-vl,True,3368.0,3001.0,10.897,True,1400.0,1400.0,0.0,True,1.0,True,75.0,75.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,ok
we00085,qwen2.5-vl,True,1999.0,1890.0,5.453,True,838.0,838.0,0.0,True,1.0,True,58.0,58.0,0.9997,2.23,0.0,False,0.0,0.071,True,0.99945,True,False,False,ok
we00086,qwen2.5-vl,True,1704.0,1645.0,3.462,True,970.0,970.0,0.0,True,1.0,True,32.0,32.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,ok
we00087,qwen2.5-vl,True,2647.0,2527.0,4.533,True,2836.0,2836.0,0.0,True,1.0,True,63.0,63.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,ok
we00088,qwen2.5-vl,True,3645.0,3489.0,4.28,True,1347.0,1347.0,0.0,True,0.9975,False,75.0,75.0,0.9599,21.95,0.0,False,0.001,0.003,True,0.99782,True,False,False,ok
