page_id,tokenizer,g0_parse,tokens_orig,tokens_comp,reduction_pct,g1_tokens,docH_orig,docH_comp,height_delta_px,g2_height,text_ratio,g3_text,n_boxes_orig,n_boxes_comp,iou_mean,center_shift_max,n_unmatched,g4_blocks,deltae_p95,deltae_max,g5_color,ssim_diag,g6_lpips,pixel_identical,accepted,stage,status
we00000,qwen2.5-vl,True,2371,1985,16.28,True,1244,1244,0,True,1.0,True,77,77,1.0,0.0,0,True,0.0,0.0,True,1.0,True,True,True,l1a,ok
we00000,qwen2.5-vl,True,2371,1966,17.081,True,1244,1244,0,True,1.0,True,77,77,1.0,0.0,0,True,0.0,0.0,True,1.0,True,True,True,l1b,ok
we00001,qwen2.5-vl,True,5544,4468,19.408,True,2107,2107,0,True,1.0,True,39,39,1.0,0.0,0,True,0.0,0.0,True,1.0,True,True,True,l1a,ok
we00001,qwen2.5-vl,True,5544,4431,20.076,True,2107,2107,0,True,0.99858,False,39,39,0.9959,3.89,0,False,0.029,0.221,True,0.99967,True,False,False,l1b,ok
we00002,qwen2.5-vl,True,2609,2449,6.133,True,1249,1249,0,True,1.0,True,79,79,1.0,0.0,0,True,0.0,0.0,True,1.0,True,True,True,l1a,ok
we00002,qwen2.5-vl,True,2609,2389,8.432,True,1249,1249,0,True,1.0,True,79,79,1.0,0.0,0,True,0.0,0.0,True,1.0,True,True,True,l1b,ok
we00003,qwen2.5-vl,True,2641,2277,13.783,True,2518,2518,0,True,1.0,True,66,66,1.0,0.0,0,True,0.0,0.0,True,1.0,True,True,True,l1a,ok
we00003,qwen2.5-vl,True,2641,2242,15.108,True,2518,2518,0,True,1.0,True,66,66,1.0,0.0,0,True,0.0,0.0,True,1.0,True,True,True,l1b,ok
we00004,qwen2.5-vl,True,3802,3630,4.524,True,1420,1420,0,True,1.0,True,50,50,1.0,0.0,0,True,0.0,0.0,True,1.0,True,True,True,l1a,ok
we00004,qwen2.5-vl,True,3802,3590,5.576,True,1420,1420,0,True,0.99874,False,50,50,0.9921,4.0,0,False,0.042,0.051,True,0.99303,True,False,False,l1b,ok
we00005,qwen2.5-vl,True,3501,2936,16.138,True,1656,1656,0,True,1.0,True,74,74,1.0,0.0,0,True,0.0,0.0,True,1.0,True,True,True,l1a,ok
we00005,qwen2.5-vl,True,3501,2852,18.538,True,1656,1656,0,True,1.0,True,74,74,1.0,0.0,0,True,0.0,0.0,True,1.0,True,True,True,l1b,ok
we00006,qwen2.5-vl,True,6634,5755,13.25,True,2528,2528,0,True,1.0,True,59,59,1.0,0.0,0,True,0.0,0.0,True,1.0,True,True,True,l1a,ok
we00006,qwen2.5-vl,True,6634,5553,16.295,True,2528,2528,0,True,1.0,True,59,59,1.0,0.0,0,True,0.0,0.0,True,1.0,True,True,True,l1b,ok
