page_id,source,base,stamp_roundtrip_identical,n_invisible,n_wrappers,n_candidate_edits,tokens_base,tokens_original,prescreen_ran,n_prescreen_dropped,status,gate_calls,n_kept,n_kept_invisible,n_kept_wrappers,n_blacklisted,tokens_saved_invisible,tokens_saved_wrappers,tokenizer,g0_parse,tokens_orig,tokens_comp,reduction_pct,g1_tokens,docH_orig,docH_comp,height_delta_px,g2_height,text_ratio,g3_text,n_boxes_orig,n_boxes_comp,iou_mean,center_shift_max,n_unmatched,g4_blocks,deltae_p95,deltae_max,g5_color,ssim_diag,g6_lpips,pixel_identical,accepted
we00018,webcode2m,level1,,13.0,19.0,32.0,3428.0,4121.0,True,4.0,ok,1.0,28.0,11.0,17.0,0.0,14.0,125.0,qwen2.5-vl,True,3428.0,3251.0,5.163,True,2209.0,2209.0,0.0,True,1.0,True,65.0,65.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True
we00019,webcode2m,level1,,12.0,22.0,34.0,5519.0,6600.0,True,4.0,ok,1.0,30.0,8.0,22.0,0.0,111.0,127.0,qwen2.5-vl,True,5519.0,5230.0,5.236,True,2528.0,2528.0,0.0,True,0.99654,True,59.0,57.0,1.0,0.0,2.0,True,0.0,0.0,True,1.0,True,True,True
we00020,webcode2m,level1,,5.0,5.0,10.0,3657.0,4953.0,True,2.0,ok,1.0,8.0,5.0,3.0,0.0,160.0,20.0,qwen2.5-vl,True,3657.0,3468.0,5.168,True,1262.0,1262.0,0.0,True,1.0,True,26.0,26.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True
we00021,webcode2m,level1,,9.0,8.0,17.0,4284.0,5527.0,True,3.0,ok,1.0,14.0,9.0,5.0,0.0,216.0,28.0,qwen2.5-vl,True,4284.0,4040.0,5.696,True,985.0,985.0,0.0,True,0.99035,True,84.0,83.0,1.0,0.0,1.0,True,0.0,0.0,True,1.0,True,True,True
we00022,webcode2m,level1,,4.0,28.0,32.0,3634.0,4247.0,True,3.0,ok,10.0,26.0,3.0,23.0,0.0,13.0,205.0,qwen2.5-vl,True,3634.0,3389.0,6.742,True,1902.0,1902.0,0.0,True,1.0,True,65.0,65.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True
we00023,webcode2m,level1,,3.0,9.0,12.0,2706.0,3017.0,True,0.0,ok,1.0,12.0,3.0,9.0,0.0,117.0,169.0,qwen2.5-vl,True,2706.0,2409.0,10.976,True,1422.0,1422.0,0.0,True,1.0,True,27.0,27.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True
we00024,webcode2m,level1,,4.0,4.0,8.0,2674.0,2842.0,True,2.0,ok,1.0,6.0,3.0,3.0,0.0,12.0,15.0,qwen2.5-vl,True,2674.0,2637.0,1.384,True,1546.0,1546.0,0.0,True,1.0,True,37.0,37.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True
we00025,webcode2m,level1,,18.0,17.0,35.0,5621.0,6591.0,True,3.0,ok,20.0,24.0,16.0,8.0,8.0,1072.0,5.0,qwen2.5-vl,True,5621.0,4486.0,20.192,True,1549.0,1549.0,0.0,True,1.0,True,34.0,34.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True
we00026,webcode2m,level1,,13.0,16.0,29.0,2727.0,2870.0,True,3.0,ok,1.0,26.0,11.0,15.0,0.0,344.0,122.0,qwen2.5-vl,True,2727.0,2274.0,16.612,True,2156.0,2156.0,0.0,True,1.0,True,38.0,38.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True
we00027,webcode2m,level1,,20.0,43.0,63.0,4194.0,4501.0,True,4.0,ok,10.0,52.0,20.0,32.0,0.0,782.0,254.0,qwen2.5-vl,True,4194.0,3111.0,25.823,True,1854.0,1854.0,0.0,True,1.0,True,86.0,86.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True
