sample_id,page_id,source,mutation,protocol_id,family,intent,variant,extension,status,attempts,target_ids,severity_nominal,severity_achieved,detail,verified_change,verified_label,calib_include,n_diff_pixels,diff_frac,shape_mismatch,diff_bbox,tokenizer,g0_parse,tokens_orig,tokens_comp,reduction_pct,g1_tokens,docH_orig,docH_comp,height_delta_px,g2_height,text_ratio,g3_text,n_boxes_orig,n_boxes_comp,iou_mean,center_shift_max,n_unmatched,g4_blocks,deltae_p95,deltae_max,g5_color,ssim_diag,g6_lpips,pixel_identical,accepted,accepted_visual,accepted_full,ssim_canvas
we00058__s4_collapse_neutral_wrapper__default,we00058,webcode2m,s4_collapse_neutral_wrapper,S4,structure,safe,default,False,ok,1.0,94,,,collapsed neutral <span id=94 4x17>,False,0.0,True,0.0,0.0,False,,qwen2.5-vl,True,3468.0,3457.0,0.317,True,1506.0,1506.0,0.0,True,1.0,True,66.0,66.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,True,True,1.0
we00058__s5_remove_display_none__default,we00058,webcode2m,s5_remove_display_none,S5,structure,safe,default,False,na,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
we00058__s6_reminify__default,we00058,webcode2m,s6_reminify,S6,source,safe,default,False,ok,1.0,,,,minify-html pass,False,0.0,True,0.0,0.0,False,,qwen2.5-vl,True,3468.0,3216.0,7.266,True,1506.0,1506.0,0.0,True,1.0,True,66.0,66.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,True,True,1.0
we00058__x1_legacy_whitespace_regex__default,we00058,webcode2m,x1_legacy_whitespace_regex,X1,source,probe,default,True,ok,1.0,,,,legacy >\s+< collapse,True,1.0,False,9270.0,0.004764,False,"55,739,387,1024",qwen2.5-vl,True,3468.0,3432.0,1.038,True,1506.0,1506.0,0.0,True,0.99836,True,66.0,66.0,0.9892,12.0,0.0,False,0.592,0.716,True,0.99045,True,False,False,False,False,0.99045
we00059__m1_delete_text_block__default,we00059,webcode2m,m1_delete_text_block,M1,structure,breaking,default,False,ok,1.0,37,,,deleted <p id=37 1258x72>,True,1.0,True,330939.0,0.237198,True,"8,607,1271,1001",qwen2.5-vl,True,3801.0,3653.0,3.894,True,1090.0,1002.0,88.0,False,0.91226,False,67.0,66.0,0.1876,88.0,1.0,False,0.0,0.0,True,0.76805,True,False,False,False,False,0.74506
we00059__m2_corrupt_text__default,we00059,webcode2m,m2_corrupt_text,M2,text,breaking,default,False,ok,1.0,30,0.3,,corrupted 32/107 chars in <p id=30 1218x56>,True,1.0,True,15382.0,0.011025,False,"44,373,1234,423",qwen2.5-vl,True,3801.0,3822.0,-0.552,False,1090.0,1090.0,0.0,True,0.99332,False,67.0,67.0,0.9986,4.83,0.0,True,0.0,0.039,True,0.98152,True,False,False,False,False,0.98152
we00059__m3_shift_element__px8,we00059,webcode2m,m3_shift_element,M3,geometry,breaking,px8,False,ok,1.0,125,8.0,,margin-left 0->8px on <span id=125 108x17>,True,1.0,True,8726.0,0.006254,False,"36,977,1242,991",qwen2.5-vl,True,3801.0,3809.0,-0.21,False,1090.0,1090.0,0.0,True,1.0,True,67.0,67.0,0.9885,4.14,0.0,True,0.074,0.122,True,0.98915,True,False,False,True,False,0.98915
we00059__m3_shift_element__px16,we00059,webcode2m,m3_shift_element,M3,geometry,breaking,px16,False,ok,1.0,117,16.0,,margin-left 0->16px on <span id=117 111x17>,True,1.0,True,8099.0,0.005805,False,"32,977,1246,991",qwen2.5-vl,True,3801.0,3810.0,-0.237,False,1090.0,1090.0,0.0,True,1.0,True,67.0,67.0,0.9785,8.0,0.0,False,0.0,0.144,True,0.9904,True,False,False,False,False,0.9904
we00059__m3_shift_element__px32,we00059,webcode2m,m3_shift_element,M3,geometry,breaking,px32,False,ok,1.0,89,32.0,,margin-left 0->32px on <span id=89 123x17>,True,1.0,True,8978.0,0.006435,False,"39,959,1255,973",qwen2.5-vl,True,3801.0,3810.0,-0.237,False,1090.0,1090.0,0.0,True,1.0,True,67.0,67.0,0.9477,16.0,0.0,False,0.0,0.285,True,0.98875,True,False,False,False,False,0.98875
we00059__m4_recolor_element__de2,we00059,webcode2m,m4_recolor_element,M4,color,breaking,de2,False,ok,1.0,9,2.0,2.063,"bg rgb(240, 240, 240) -> rgb(242,240,236) dE00=2.063 on <button id=9 49x21>",True,1.0,True,1011.0,0.000725,False,"8,42,56,62",qwen2.5-vl,True,3801.0,3823.0,-0.579,False,1090.0,1090.0,0.0,True,1.0,True,67.0,67.0,1.0,0.0,0.0,True,0.0,3.478,True,0.99979,True,False,False,True,False,0.99979
we00059__m4_recolor_element__de5,we00059,webcode2m,m4_recolor_element,M4,color,breaking,de5,False,ok,1.0,51,5.0,5.015,"bg rgb(102, 102, 102) -> rgb(106,102,93) dE00=5.015 on <footer id=51 1264x198>",True,1.0,True,239553.0,0.171698,False,"8,884,1271,1081",qwen2.5-vl,True,3801.0,3822.0,-0.552,False,1090.0,1090.0,0.0,True,1.0,True,67.0,67.0,1.0,0.0,0.0,True,4.054,4.54,False,0.99962,True,False,False,False,False,0.99962
we00059__m4_recolor_element__de10,we00059,webcode2m,m4_recolor_element,M4,color,breaking,de10,False,ok,1.0,9,10.0,10.093,"bg rgb(240, 240, 240) -> rgb(251,239,215) dE00=10.093 on <button id=9 49x21>",True,1.0,True,1013.0,0.000726,False,"8,42,56,62",qwen2.5-vl,True,3801.0,3823.0,-0.579,False,1090.0,1090.0,0.0,True,1.0,True,67.0,67.0,1.0,0.0,0.0,True,0.0,8.488,False,0.99978,True,False,False,False,False,0.99978
we00059__m5_fontsize_bump__minus2,we00059,webcode2m,m5_fontsize_bump,M5,typography,breaking,minus2,False,ok,1.0,39,-2.0,,font-size 16->14px on <p id=39 1258x36>,True,1.0,True,136107.0,0.097554,True,"8,764,1271,1067",qwen2.5-vl,True,3801.0,3812.0,-0.289,False,1090.0,1068.0,22.0,False,1.0,True,67.0,67.0,0.2409,45.07,0.0,False,0.0,1.865,True,0.87644,True,False,False,False,False,0.86364
we00059__m5_fontsize_bump__plus2,we00059,webcode2m,m5_fontsize_bump,M5,typography,breaking,plus2,False,ok,1.0,103,2.0,,font-size 16->18px on <span id=103 39x17>,True,1.0,True,39337.0,0.028117,True,"8,959,1271,1084",qwen2.5-vl,True,3801.0,3810.0,-0.237,False,1090.0,1093.0,3.0,False,1.0,True,67.0,67.0,0.8719,3.0,0.0,False,0.169,1.151,True,0.94745,True,False,False,False,False,0.94479
we00059__m6_remove_loadbearing_wrapper__default,we00059,webcode2m,m6_remove_loadbearing_wrapper,M6,structure,breaking,default,False,ok,1.0,29,,,unwrapped load-bearing <div id=29 1278x166>,True,1.0,True,555693.0,0.398289,True,"1,314,1278,989",qwen2.5-vl,True,3801.0,3782.0,0.5,True,1090.0,990.0,100.0,False,1.0,True,67.0,67.0,0.1151,100.0,0.0,False,0.0,4.104,True,0.59177,True,False,False,False,False,0.57857
we00059__m7_swap_siblings__default,we00059,webcode2m,m7_swap_siblings,M7,structure,breaking,default,False,ok,1.0,32;28,,,swapped siblings id=32<->id=28 under id=19,True,1.0,True,469760.0,0.336697,False,"1,313,1278,793",qwen2.5-vl,True,3801.0,3801.0,0.0,False,1090.0,1090.0,0.0,True,0.96773,False,67.0,67.0,0.8806,314.0,0.0,False,0.0,0.0,True,0.74087,True,False,False,False,False,0.74087
we00059__m8_delete_image__default,we00059,webcode2m,m8_delete_image,M8,structure,breaking,default,True,ok,1.0,27,,,deleted <img id=27 16x16>,True,1.0,True,445947.0,0.319629,True,"1,264,1278,1043",qwen2.5-vl,True,3801.0,3780.0,0.552,True,1090.0,1044.0,46.0,False,1.0,True,67.0,66.0,0.1189,46.0,1.0,False,0.0,0.0,True,0.60966,True,False,False,False,False,0.6006
we00059__s1_strip_comments__default,we00059,webcode2m,s1_strip_comments,S1,source,safe,default,False,na,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
we00059__s2_reorder_attributes__default,we00059,webcode2m,s2_reorder_attributes,S2,source,safe,default,False,ok,1.0,,,,reordered attrs on 88 tags,False,0.0,True,0.0,0.0,False,,qwen2.5-vl,True,3801.0,3801.0,0.0,False,1090.0,1090.0,0.0,True,1.0,True,67.0,67.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,False,True,False,1.0
we00059__s3_requote_attributes__default,we00059,webcode2m,s3_requote_attributes,S3,source,safe,default,False,ok,1.0,,,,unquoted attrs in 151 tags,False,0.0,True,0.0,0.0,False,,qwen2.5-vl,True,3801.0,3715.0,2.263,True,1090.0,1090.0,0.0,True,1.0,True,67.0,67.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,True,True,1.0
we00059__s4_collapse_neutral_wrapper__default,we00059,webcode2m,s4_collapse_neutral_wrapper,S4,structure,safe,default,False,ok,1.0,61,,,collapsed neutral <span id=61 283x17>,False,0.0,True,0.0,0.0,False,,qwen2.5-vl,True,3801.0,3782.0,0.5,True,1090.0,1090.0,0.0,True,1.0,True,67.0,67.0,0.9944,84.88,0.0,True,0.0,0.011,True,1.0,True,True,True,True,True,1.0
we00059__s5_remove_display_none__default,we00059,webcode2m,s5_remove_display_none,S5,structure,safe,default,False,ok,1.0,42,,,removed display:none subtree <div id=42 0x0>,False,0.0,True,0.0,0.0,False,,qwen2.5-vl,True,3801.0,3746.0,1.447,True,1090.0,1090.0,0.0,True,1.0,True,67.0,67.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,True,True,1.0
we00059__s6_reminify__default,we00059,webcode2m,s6_reminify,S6,source,safe,default,False,unsafe_safe,1.0,,,,minify-html pass,True,1.0,False,3205.0,0.002297,False,"413,905,866,918",qwen2.5-vl,True,3801.0,3551.0,6.577,True,1090.0,1090.0,0.0,True,0.99988,True,67.0,67.0,0.9994,2.0,0.0,True,0.0,0.003,True,0.99578,True,False,True,True,True,0.99578
we00059__x1_legacy_whitespace_regex__default,we00059,webcode2m,x1_legacy_whitespace_regex,X1,source,probe,default,True,ok,1.0,,,,legacy >\s+< collapse,True,1.0,False,3205.0,0.002297,False,"413,905,866,918",qwen2.5-vl,True,3801.0,3798.0,0.079,True,1090.0,1090.0,0.0,True,0.99988,True,67.0,67.0,0.9994,2.0,0.0,True,0.0,0.003,True,0.99578,True,False,True,True,True,0.99578
we00060__m1_delete_text_block__default,we00060,webcode2m,m1_delete_text_block,M1,structure,breaking,default,False,ok,1.0,75,,,deleted <label id=75 68x17>,True,1.0,True,1233.0,0.000542,False,"47,439,245,451",qwen2.5-vl,True,4812.0,4798.0,0.291,True,1767.0,1767.0,0.0,True,0.99799,True,82.0,81.0,0.9955,36.44,1.0,False,0.0,0.198,True,0.99881,True,False,False,False,False,0.99881
we00060__m2_corrupt_text__default,we00060,webcode2m,m2_corrupt_text,M2,text,breaking,default,False,ok,1.0,111,0.3,,corrupted 7/23 chars in <li id=111 1240x18>,True,1.0,True,1112.0,0.000489,False,"62,1104,221,1117",qwen2.5-vl,True,4812.0,4819.0,-0.145,False,1767.0,1767.0,0.0,True,0.99766,True,82.0,82.0,0.9997,2.36,0.0,True,0.0,0.264,True,0.99917,True,False,False,True,False,0.99917
we00060__m3_shift_element__px8,we00060,webcode2m,m3_shift_element,M3,geometry,breaking,px8,False,ok,1.0,118,8.0,,margin-left 0->8px on <aside id=118 1280x184>,True,1.0,True,6735.0,0.002959,False,"8,1257,247,1435",qwen2.5-vl,True,4812.0,4822.0,-0.208,False,1767.0,1767.0,0.0,True,1.0,True,82.0,82.0,0.994,8.0,0.0,False,0.0,0.0,True,0.99488,True,False,False,False,False,0.99488
we00060__m3_shift_element__px16,we00060,webcode2m,m3_shift_element,M3,geometry,breaking,px16,False,ok,1.0,72,16.0,,margin-left 0->16px on <li id=72 1240x18>,True,1.0,True,1029.0,0.000452,False,"32,421,190,431",qwen2.5-vl,True,4812.0,4823.0,-0.229,False,1767.0,1767.0,0.0,True,1.0,True,82.0,82.0,0.9922,16.0,0.0,False,0.0,0.0,True,0.99907,True,False,False,False,False,0.99907
we00060__m3_shift_element__px32,we00060,webcode2m,m3_shift_element,M3,geometry,breaking,px32,False,ok,1.0,91,32.0,,margin-left 0->32px on <div id=91 1280x505>,True,1.0,True,52276.0,0.022969,False,"7,732,1269,1229",qwen2.5-vl,True,4812.0,4823.0,-0.229,False,1767.0,1767.0,0.0,True,1.0,True,82.0,82.0,0.9457,32.0,0.0,False,0.0,0.213,True,0.95668,True,False,False,False,False,0.95668
